No,Weekday,Date,Period,NIC1,NIC2,COT1,COT2,HCOT1,HCOT2,PARA1,PARA2,ACE1,ACE2,,,,Univariate Approach
53,Sunday,1/6/2019,2,6.75,6.55,3.10,3.02,2.97,3.11,24.35,16.91,17.69,18.96,,,,
54,Monday,1/7/2019,2,5.24,5.18,2.79,2.79,2.90,2.81,18.52,17.80,16.51,17.20,,,,
55,Tuesday,1/8/2019,2,5.59,6.01,3.03,2.81,2.99,2.80,22.46,16.22,17.94,17.20,,,,
56,Wednesday,1/9/2019,2,8.77,7.19,2.47,2.71,2.54,2.72,20.53,13.44,13.79,14.92,,,,
57,Thursday,1/10/2019,2,5.20,4.19,2.46,2.10,2.54,2.26,20.87,9.52,14.10,12.56,,,,
58,Friday,1/11/2019,2,6.10,3.93,3.27,2.78,3.04,2.96,25.15,16.27,19.10,16.00,,,,
59,Saturday,1/12/2019,2,5.66,6.56,2.66,2.76,2.22,2.89,17.45,16.70,15.16,15.35,,,,
60,Sunday,1/13/2019,2,6.84,6.21,2.90,2.84,2.86,2.98,19.17,15.14,15.97,15.79,,,,
61,Monday,1/14/2019,2,5.53,5.12,2.86,2.75,2.88,2.77,22.23,12.99,15.61,16.93,,,,
62,Sunday,12/15/2019,3,5.16,4.68,2.29,2.26,2.67,3.21,28.30,17.20,18.24,16.50,,,,
63,Monday,12/16/2019,3,4.98,5.86,2.08,2.87,2.48,4.19,17.70,22.20,13.08,19.71,,,,
64,Tuesday,12/17/2019,3,5.24,5.66,2.76,2.59,3.45,3.62,35.30,13.70,15.15,18.06,,,,
65,Wednesday,12/18/2019,3,6.48,5.81,2.87,2.84,3.40,3.60,32.00,18.60,20.07,19.08,,,,
66,Thursday,12/19/2019,3,6.80,5.49,2.82,2.72,3.49,3.61,36.80,16.10,17.76,18.99,,,,
67,Friday,12/20/2019,3,3.61,4.39,2.16,1.90,2.65,2.39,21.30,13.70,14.34,12.48,,,,
68,Saturday,12/21/2019,3,7.56,6.63,2.41,2.45,3.06,3.21,19.00,16.00,14.13,17.07,,,,
69,Sunday,12/22/2019,3,5.39,5.63,2.01,2.41,2.84,3.50,18.00,13.70,13.53,19.47,,,,
70,Monday,12/23/2019,3,5.44,6.98,2.55,2.81,3.13,3.75,12.70,28.20,16.32,18.78,,,,
71,Tuesday,12/24/2019,3,3.60,4.99,1.96,2.19,2.70,2.97,11.00,24.00,12.48,16.89,,,,
72,Wednesday,12/25/2019,3,6.08,4.80,2.52,2.28,3.45,2.93,29.60,15.70,16.35,15.96,,,,
73,Thursday,12/26/2019,3,7.36,3.71,2.65,2.01,3.42,2.68,34.70,14.70,17.79,13.50,,,,
74,Friday,12/27/2019,3,4.70,4.39,2.05,2.22,2.69,3.17,24.70,14.40,13.89,14.40,,,,
75,Saturday,12/28/2019,3,4.28,4.28,1.86,1.92,2.48,2.60,14.80,14.50,9.66,12.03,,,,
76,Sunday,12/29/2019,3,5.19,3.30,2.20,1.91,2.62,2.66,25.10,13.60,13.95,13.02,,,,
77,Monday,12/30/2019,3,5.88,5.10,2.54,2.33,3.16,3.31,22.50,10.60,15.75,15.48,,,,
78,Tuesday,12/31/2019,3,5.56,4.77,2.25,2.55,2.88,3.55,21.40,18.10,14.76,18.30,,,,
79,Wednesday,1/1/2020,3,7.39,5.70,2.77,2.58,3.50,3.09,27.60,12.80,18.66,19.74,,,,
80,Thursday,1/2/2020,3,6.37,4.85,2.98,2.55,3.49,3.34,27.40,5.40,19.98,17.82,,,,
81,Friday,1/3/2020,3,6.76,3.60,2.82,2.49,3.27,3.19,31.60,10.40,19.38,18.12,,,,
82,Saturday,1/4/2020,3,6.36,5.12,2.65,2.73,3.96,3.56,31.40,15.10,19.56,18.57,,,,
83,Sunday,1/5/2020,3,5.10,4.78,2.53,2.32,3.47,2.91,27.10,13.40,18.33,16.62,,,,
84,Monday,1/6/2020,3,2.92,4.00,1.57,1.90,2.31,2.37,16.20,9.50,11.70,13.26,,,,
85,Tuesday,1/7/2020,3,7.94,5.01,2.80,2.32,3.67,2.90,27.60,6.80,19.23,17.64,,,,
86,Wednesday,1/8/2020,3,8.19,4.00,2.03,1.86,2.79,2.31,20.40,9.90,16.32,13.53,,,,
87,Thursday,1/9/2020,3,3.22,1.71,1.44,0.91,1.94,1.23,13.00,1.90,10.41,6.75,,,,
88,Friday,1/10/2020,3,9.90,2.58,3.83,1.21,5.07,1.60,32.40,14.10,27.15,7.92,,,,
89,Saturday,1/11/2020,3,4.86,5.34,2.03,2.71,2.69,3.33,12.70,11.70,13.89,18.33,,,,
90,Sunday,1/12/2020,3,4.07,5.79,2.23,2.47,3.29,3.18,14.00,8.30,19.98,16.14,,,,
91,Monday,1/13/2020,3,6.03,6.65,2.36,2.74,3.68,3.62,22.40,3.80,16.23,20.52,,,,
92,Tuesday,1/14/2020,3,7.18,5.68,2.40,2.74,3.67,3.36,21.40,6.40,16.56,18.57,,,,
